set_id,species,type1,type2,ability1,ability2,base_speed,item,nature,ev_spread,move1,move2,move3,move4,lv50_allowed,in_pool_battle50plus,lategame_trainer_count
26,Togepi,Normal,Normal,Hustle,Serene Grace,20,Lax Incense,Relaxed,ATTACK|HP,Return,Yawn,Wish,Sweet Kiss,1,0,0
27,Spinarak,Bug,Poison,Swarm,Insomnia,30,Liechi Berry,Quirky,ATTACK|HP,Signal Beam,Night Shade,Spider Web,Scary Face,1,0,0
28,Marill,Water,Water,Thick Fat,Huge Power,40,Mystic Water,Gentle,ATTACK|HP,Water Pulse,Rain Dance,Light Screen,Return,1,0,0
29,Hoppip,Grass,Flying,Chlorophyll,None,50,Lax Incense,Lax,SP_DEFENSE|DEFENSE,Mega Drain,Leech Seed,Sleep Powder,Stun Spore,1,0,0
30,Slugma,Fire,Fire,Magma Armor,Flame Body,20,Sitrus Berry,Sassy,SP_DEFENSE|DEFENSE|HP,Ember,Rock Slide,Yawn,Body Slam,1,0,0
31,Swinub,Ice,Ground,Oblivious,None,50,Sitrus Berry,Gentle,SP_ATTACK|ATTACK,Icy Wind,Dig,Rock Tomb,Endure,1,0,0
32,Smeargle,Normal,Normal,Own Tempo,None,75,Kings Rock,Hardy,ATTACK|HP,Extreme Speed,Fake Out,Quick Attack,Mach Punch,1,0,0
33,Pidgey,Normal,Flying,Keen Eye,None,56,Sharp Beak,Lonely,ATTACK|HP,Gust,Sand Attack,Whirlwind,Quick Attack,1,0,0
34,Rattata,Normal,Normal,Run Away,Guts,72,Kings Rock,Docile,ATTACK|HP,Hyper Fang,Pursuit,Quick Attack,Swagger,1,0,0
35,Wynaut,Psychic,Psychic,Shadow Tag,None,23,Lax Incense,Jolly,SP_DEFENSE|DEFENSE,Encore,Counter,Mirror Coat,Charm,1,0,0
36,Skitty,Normal,Normal,Cute Charm,None,50,Bright Powder,Docile,ATTACK|HP,Sing,Attract,Charm,Double Slap,1,0,0
37,Spearow,Normal,Flying,Keen Eye,None,70,Liechi Berry,Docile,SPEED|HP,Fury Attack,Pursuit,Mirror Move,Protect,1,0,0
38,Hoothoot,Normal,Flying,Insomnia,Keen Eye,50,Persim Berry,Quirky,SP_ATTACK|HP,Confusion,Hypnosis,Supersonic,Reflect,1,0,0
39,Diglett,Ground,Ground,Sand Veil,Arena Trap,95,Kings Rock,Naive,SPEED|ATTACK,Magnitude,Slash,Rock Tomb,Sand Attack,1,0,0
40,Ledyba,Bug,Flying,Swarm,Early Bird,55,Sitrus Berry,Bashful,SP_ATTACK|HP,Psybeam,Agility,Baton Pass,Light Screen,1,0,0
41,Nincada,Bug,Ground,Compound Eyes,None,40,Pecha Berry,Calm,ATTACK|HP,Mud Slap,Dig,Toxic,Protect,1,0,0
42,Surskit,Bug,Water,Swift Swim,None,65,Mystic Water,Relaxed,SP_ATTACK|HP,Bubble Beam,Rain Dance,Sweet Scent,Quick Attack,1,0,0
43,Jigglypuff,Normal,Normal,Cute Charm,None,20,Lax Incense,Relaxed,SP_DEFENSE|DEFENSE|HP,Sing,Wish,Mimic,Double Slap,1,0,0
44,Taillow,Normal,Flying,Guts,None,85,Salac Berry,Gentle,SPEED|ATTACK|HP,Fly,Quick Attack,Endeavor,Focus Energy,1,0,0
45,Wingull,Water,Flying,Keen Eye,None,85,Persim Berry,Hardy,SP_ATTACK|HP,Water Pulse,Fly,Quick Attack,Steel Wing,1,0,0
46,Nidoran M,Poison,Poison,Poison Point,None,50,Sitrus Berry,Quirky,ATTACK|HP,Double Kick,Poison Sting,Disable,Helping Hand,1,0,0
47,Nidoran F,Poison,Poison,Poison Point,None,41,Sitrus Berry,Quirky,ATTACK|HP,Crunch,Double Kick,Flatter,Helping Hand,1,0,0
48,Kirlia,Psychic,Psychic,Synchronize,Trace,50,White Herb,Docile,SPEED|HP,Confusion,Will O Wisp,Future Sight,Light Screen,1,0,0
49,Mareep,Electric,Electric,Static,None,35,Cheri Berry,Relaxed,SP_ATTACK|HP,Shock Wave,Flash,Reflect,Cotton Spore,1,0,0
50,Meditite,Fighting,Psychic,Pure Power,None,60,Mental Herb,Naughty,ATTACK|HP,Hi Jump Kick,Meditate,Swagger,Psych Up,1,0,0
51,Slakoth,Normal,Normal,Truant,None,30,Leftovers,Quirky,ATTACK|HP,Yawn,Scratch,Encore,Counter,1,0,0
52,Paras,Bug,Grass,Effect Spore,None,25,Sitrus Berry,Relaxed,SP_ATTACK|HP,Spore,Leech Life,Slash,Light Screen,1,0,0
53,Ekans,Poison,Poison,Intimidate,Shed Skin,55,Poison Barb,Docile,ATTACK|HP,Acid,Dig,Screech,Torment,1,0,0
54,Ditto,Normal,Normal,Limber,None,48,Metal Powder,Hardy,SPEED|HP,Transform,None,None,None,1,0,0
55,Barboach,Water,Ground,Oblivious,None,60,Focus Band,Bashful,SP_ATTACK|ATTACK,Magnitude,Water Pulse,Spark,Future Sight,1,0,0
56,Meowth,Normal,Normal,Pickup,None,90,Persim Berry,Quirky,ATTACK|HP,Slash,Bite,Screech,Fake Out,1,0,0
57,Pineco,Bug,Bug,Sturdy,None,15,Focus Band,Quirky,ATTACK|HP,Self Destruct,Take Down,Reflect,Light Screen,1,0,0
58,Trapinch,Ground,Ground,Hyper Cutter,Arena Trap,10,Lax Incense,Serious,ATTACK|HP,Toxic,Dig,Sandstorm,Sand Attack,1,0,0
59,Spheal,Ice,Water,Thick Fat,None,25,Never Melt Ice,Docile,SP_ATTACK|HP,Ice Ball,Water Pulse,Hail,Mud Slap,1,0,0
60,Horsea,Water,Water,Swift Swim,None,60,Petaya Berry,Relaxed,SP_ATTACK|HP,Water Gun,Agility,Icy Wind,Twister,1,0,0
61,Shroomish,Grass,Grass,Effect Spore,None,35,Miracle Seed,Relaxed,SP_ATTACK|HP,Spore,Bullet Seed,Leech Seed,Headbutt,1,0,0
62,Shuppet,Ghost,Ghost,Insomnia,None,45,Rawst Berry,Rash,ATTACK|HP,Will O Wisp,Night Shade,Grudge,Knock Off,1,0,0
63,Duskull,Ghost,Ghost,Levitate,None,25,Persim Berry,Quirky,SPEED|HP,Skill Swap,Night Shade,Disable,Confuse Ray,1,0,0
64,Electrike,Electric,Electric,Static,Lightning Rod,65,Cheri Berry,Docile,SPEED|HP,Spark,Thunder Wave,Roar,Quick Attack,1,0,0
65,Vulpix,Fire,Fire,Flash Fire,None,65,Rawst Berry,Docile,SPEED|HP,Will O Wisp,Confuse Ray,Fire Spin,Quick Attack,1,0,0
66,Pikachu,Electric,Electric,Static,None,90,Light Ball,Docile,SPEED|HP,Thunder Punch,Thunder Wave,Double Team,Quick Attack,1,0,0
67,Sandshrew,Ground,Ground,Sand Veil,None,40,Soft Sand,Docile,ATTACK|HP,Dig,Rock Tomb,Sandstorm,Sand Attack,1,0,0
68,Poliwag,Water,Water,Water Absorb,Damp,90,Mystic Water,Relaxed,SPEED|HP,Hypnosis,Icy Wind,Water Gun,Rain Dance,1,0,0
69,Bellsprout,Grass,Poison,Chlorophyll,None,40,Sitrus Berry,Lax,SP_DEFENSE|DEFENSE|HP,Razor Leaf,Acid,Stun Spore,Wrap,1,0,0
70,Geodude,Rock,Ground,Rock Head,Sturdy,20,Focus Band,Brave,ATTACK|HP,Magnitude,Rock Blast,Strength,Protect,1,0,0
71,Dratini,Dragon,Dragon,Shed Skin,None,50,Persim Berry,Docile,SP_ATTACK|HP,Outrage,Thunder Wave,Supersonic,Water Pulse,1,0,0
72,Snubbull,Normal,Normal,Intimidate,Run Away,30,Scope Lens,Relaxed,ATTACK|HP,Bite,Charm,Swagger,Scary Face,1,0,0
73,Remoraid,Water,Water,Hustle,None,65,Petaya Berry,Quirky,SP_ATTACK|SPEED,Bubble Beam,Aurora Beam,Psybeam,Protect,1,0,0
74,Larvitar,Rock,Ground,Guts,None,41,Persim Berry,Naughty,ATTACK|HP,Thrash,Rock Slide,Dig,Dragon Dance,1,0,0
75,Baltoy,Ground,Psychic,Levitate,None,55,Persim Berry,Naughty,SP_ATTACK|ATTACK,Psybeam,Ancient Power,Light Screen,Mud Slap,1,0,0
76,Snorunt,Ice,Ice,Inner Focus,None,50,Persim Berry,Brave,ATTACK|HP,Icy Wind,Headbutt,Leer,Bite,1,0,0
77,Bagon,Dragon,Dragon,Rock Head,None,50,Liechi Berry,Naughty,ATTACK|HP,Dragon Breath,Headbutt,Brick Break,Scary Face,1,0,0
78,Beldum,Steel,Psychic,Clear Body,None,30,Choice Band,Hardy,ATTACK|HP,Take Down,None,None,None,1,0,0
79,Gulpin,Poison,Poison,Liquid Ooze,Sticky Hold,40,Lax Incense,Serious,SP_DEFENSE|DEFENSE|HP,Toxic,Yawn,Pain Split,Attract,1,0,0
80,Venonat,Bug,Poison,Compound Eyes,None,45,Sitrus Berry,Relaxed,SP_ATTACK|HP,Psybeam,Supersonic,Stun Spore,Skill Swap,1,0,0
81,Mankey,Fighting,Fighting,Vital Spirit,None,70,Black Belt,Naughty,ATTACK|HP,Karate Chop,Low Kick,Screech,Swagger,1,0,0
82,Machop,Fighting,Fighting,Guts,None,35,Scope Lens,Adamant,ATTACK|HP,Seismic Toss,Revenge,Rock Tomb,Scary Face,1,0,0
83,Shellder,Water,Water,Shell Armor,None,40,Cheri Berry,Relaxed,SP_ATTACK|HP,Icicle Spear,Supersonic,Clamp,Withdraw,1,0,0
84,Smoochum,Ice,Psychic,Oblivious,None,65,Bright Powder,Docile,ATTACK|HP,Sweet Kiss,Sing,Mud Slap,Fake Out,1,0,0
85,Numel,Fire,Ground,Oblivious,None,35,Lax Incense,Hardy,ATTACK|HP,Ember,Magnitude,Rock Tomb,Sandstorm,1,0,0
86,Carvanha,Water,Dark,Rough Skin,None,65,Shell Bell,Quiet,SP_ATTACK|HP,Bite,Screech,Scary Face,Swagger,1,0,0
87,Corphish,Water,Water,Hyper Cutter,Shell Armor,35,Mystic Water,Brave,SP_ATTACK|HP,Crabhammer,Water Pulse,Mud Slap,Protect,1,0,0
88,Charmander,Fire,Fire,Blaze,None,65,Focus Band,Docile,SP_ATTACK|HP,Fire Spin,Metal Claw,Smokescreen,Scary Face,1,0,0
89,Cyndaquil,Fire,Fire,Blaze,None,65,Sitrus Berry,Docile,SP_ATTACK|HP,Ember,Swift,Quick Attack,Smokescreen,1,0,0
90,Abra,Psychic,Psychic,Synchronize,Inner Focus,90,Twisted Spoon,Lonely,SPEED|HP,Mimic,Metronome,Flash,Seismic Toss,1,0,0
91,Doduo,Normal,Flying,Run Away,Early Bird,75,Liechi Berry,Lonely,SPEED|HP,Fury Attack,Uproar,Mud Slap,Faint Attack,1,0,0
92,Gastly,Ghost,Poison,Levitate,None,80,Lax Incense,Lonely,SPEED|HP,Dream Eater,Hypnosis,Night Shade,Confuse Ray,1,0,0
93,Swablu,Normal,Flying,Natural Cure,None,50,Mental Herb,Lonely,SP_ATTACK|HP,Take Down,Dream Eater,Sing,Attract,1,0,0
94,Treecko,Grass,Grass,Overgrow,None,70,Scope Lens,Lonely,SP_ATTACK|ATTACK,Bullet Seed,Aerial Ace,Quick Attack,Double Team,1,0,0
95,Torchic,Fire,Fire,Blaze,None,45,Bright Powder,Lonely,SP_ATTACK|HP,Fire Spin,Quick Attack,Sand Attack,Double Team,1,0,0
96,Mudkip,Water,Water,Torrent,None,40,Focus Band,Docile,SP_ATTACK|HP,Whirlpool,Endeavor,Mud Sport,Mud Slap,1,0,0
97,Squirtle,Water,Water,Torrent,None,43,Sitrus Berry,Docile,SP_ATTACK|HP,Water Pulse,Bite,Withdraw,Protect,1,0,0
98,Totodile,Water,Water,Torrent,None,43,Scope Lens,Docile,SP_ATTACK|HP,Slash,Water Pulse,Screech,Icy Wind,1,0,0
99,Slowpoke,Water,Psychic,Oblivious,Own Tempo,15,Sitrus Berry,Brave,SP_ATTACK|HP,Confusion,Disable,Water Pulse,Yawn,1,0,0
100,Bulbasaur,?,?,?,?,,Bright Powder,Relaxed,SP_ATTACK|HP,Razor Leaf,Sweet Scent,Sleep Powder,Light Screen,1,0,0
101,Chikorita,Grass,Grass,Overgrow,None,45,Bright Powder,Relaxed,SP_ATTACK|HP,Secret Power,Bullet Seed,Mud Slap,Light Screen,1,0,0
102,Oddish,Grass,Poison,Chlorophyll,None,30,Pecha Berry,Relaxed,ATTACK|HP,Acid,Stun Spore,Sweet Scent,Moonlight,1,0,0
103,Psyduck,Water,Water,Damp,Cloud Nine,55,Persim Berry,Hasty,SP_ATTACK|ATTACK,Confusion,Fury Swipes,Aerial Ace,Disable,1,0,0
104,Cubone,Ground,Ground,Rock Head,Lightning Rod,35,Soft Sand,Hardy,ATTACK|HP,Bone Club,Headbutt,Brick Break,Aerial Ace,1,0,0
105,Goldeen,Water,Water,Swift Swim,Water Veil,63,Petaya Berry,Docile,SP_ATTACK|HP,Waterfall,Fury Attack,Agility,Psybeam,1,0,0
106,Natu,Psychic,Flying,Synchronize,Early Bird,70,Twisted Spoon,Relaxed,SP_ATTACK|HP,Night Shade,Future Sight,Confuse Ray,Flash,1,0,0
107,Clefairy,Normal,Normal,Cute Charm,None,35,Lax Incense,Lonely,ATTACK|HP,Follow Me,Return,Encore,Sing,1,0,0
108,Magnemite,Electric,Steel,Magnet Pull,Sturdy,45,Rawst Berry,Gentle,SP_ATTACK|SPEED,Shock Wave,Supersonic,Metal Sound,Reflect,1,0,0
109,Seel,Water,Water,Thick Fat,None,45,Aspear Berry,Hardy,SP_ATTACK|HP,Aurora Beam,Dive,Body Slam,Fake Out,1,0,0
110,Grimer,Poison,Poison,Stench,Sticky Hold,25,Pecha Berry,Quirky,SP_DEFENSE|DEFENSE|HP,Sludge,Rock Tomb,Acid Armor,Minimize,1,0,0
111,Krabby,Water,Water,Hyper Cutter,Shell Armor,50,Focus Band,Hardy,ATTACK|HP,Crabhammer,Mud Shot,Flail,Knock Off,1,0,0
112,Exeggcute,Grass,Psychic,Chlorophyll,None,40,Persim Berry,Naughty,SP_ATTACK|HP,Confusion,Ancient Power,Leech Seed,Light Screen,1,0,0
113,Eevee,Normal,Normal,Run Away,None,55,Salac Berry,Docile,SPEED|HP,Charm,Attract,Flail,Endure,1,0,0
114,Drowzee,Psychic,Psychic,Insomnia,None,42,Sitrus Berry,Quirky,SP_ATTACK|ATTACK|HP,Confusion,Headbutt,Disable,Barrier,1,0,0
115,Voltorb,Electric,Electric,Soundproof,Static,100,Lax Incense,Docile,SP_ATTACK|HP,Spark,Screech,Rollout,Light Screen,1,0,0
116,Chinchou,Water,Electric,Volt Absorb,Illuminate,67,Lax Incense,Hardy,SP_ATTACK|ATTACK,Spark,Dive,Confuse Ray,Take Down,1,0,0
117,Teddiursa,Normal,Normal,Pickup,None,40,Chesto Berry,Relaxed,ATTACK|HP,Secret Power,Fake Tears,Faint Attack,Rest,1,0,0
118,Delibird,Ice,Flying,Vital Spirit,Hustle,75,Never Melt Ice,Docile,SP_ATTACK|HP,Present,Ice Ball,Aerial Ace,Hail,1,0,0
119,Houndour,Dark,Fire,Early Bird,Flash Fire,65,Charcoal,Docile,SP_ATTACK|HP,Crunch,Ember,Roar,Protect,1,0,0
120,Phanpy,Ground,Ground,Pickup,None,40,Lax Incense,Naughty,ATTACK|HP,Rollout,Defense Curl,Rock Tomb,Sandstorm,1,0,0
121,Spoink,Psychic,Psychic,Thick Fat,Own Tempo,60,Sitrus Berry,Relaxed,SP_ATTACK|HP,Psywave,Bounce,Magic Coat,Confuse Ray,1,0,0
122,Aron,Steel,Rock,Sturdy,Rock Head,30,Persim Berry,Docile,ATTACK|HP,Metal Claw,Aerial Ace,Metal Sound,Roar,1,0,0
123,Luvdisc,Water,Water,Swift Swim,None,97,Quick Claw,Relaxed,SP_ATTACK|HP,Sweet Kiss,Attract,Dive,Rain Dance,1,0,0
124,Tentacool,Water,Poison,Clear Body,Liquid Ooze,70,Pecha Berry,Hardy,SP_ATTACK|ATTACK|HP,Bubble Beam,Acid,Barrier,Wrap,1,0,0
125,Cacnea,Grass,Grass,Sand Veil,None,35,Sitrus Berry,Quirky,ATTACK|HP,Needle Arm,Faint Attack,Cotton Spore,Sand Attack,1,0,0
126,Unown,Psychic,Psychic,Levitate,None,48,Lax Incense,Hardy,SP_ATTACK|ATTACK|HP,Hidden Power,None,None,None,1,0,0
127,Koffing,Poison,Poison,Levitate,None,35,Poison Barb,Quirky,ATTACK|HP,Sludge,Smokescreen,Torment,Haze,1,0,0
128,Staryu,Water,Water,Illuminate,Natural Cure,85,Shell Bell,Quirky,SP_ATTACK|HP,Bubble Beam,Minimize,Swift,Light Screen,1,0,0
129,Skiploom,Grass,Flying,Chlorophyll,None,80,Persim Berry,Docile,SP_ATTACK|HP,Mega Drain,Confusion,Cotton Spore,Synthesis,1,0,0
130,Nuzleaf,Grass,Dark,Chlorophyll,Early Bird,60,Sitrus Berry,Hardy,SP_ATTACK|HP,Extrasensory,Fake Out,Razor Wind,Faint Attack,1,0,0
131,Lombre,Water,Grass,Swift Swim,Rain Dish,50,Lax Incense,Quirky,ATTACK|HP,Water Pulse,Fake Out,Brick Break,Absorb,1,0,0
132,Vibrava,Ground,Dragon,Levitate,Levitate,70,Cheri Berry,Quirky,ATTACK|HP,Dragon Breath,Dig,Screech,Rock Tomb,1,0,0
133,Rhyhorn,Ground,Rock,Lightning Rod,Rock Head,25,Focus Band,Hardy,ATTACK|HP,Rock Blast,Dig,Scary Face,Roar,1,0,0
134,Clamperl,Water,Water,Shell Armor,None,32,Deep Sea Scale,Docile,SP_DEFENSE|DEFENSE|HP,Dive,Toxic,Iron Defense,Double Team,1,0,0
135,Pidgeotto,Normal,Flying,Keen Eye,None,71,White Herb,Quirky,ATTACK|HP,Aerial Ace,Quick Attack,Feather Dance,Sand Attack,1,0,0
136,Growlithe,Fire,Fire,Intimidate,Flash Fire,60,Rawst Berry,Docile,SP_ATTACK|HP,Flame Wheel,Bite,Roar,Agility,1,0,0
137,Farfetchd,Normal,Flying,Keen Eye,Inner Focus,60,Stick,Relaxed,SP_DEFENSE|DEFENSE|HP,Slash,Knock Off,Swords Dance,Agility,1,0,0
138,Omanyte,Rock,Water,Swift Swim,Shell Armor,35,Sitrus Berry,Quirky,SP_ATTACK|ATTACK|HP,Mud Shot,Water Gun,Ancient Power,Tickle,1,0,0
139,Kabuto,Rock,Water,Swift Swim,Battle Armor,55,Sitrus Berry,Hardy,SP_ATTACK|ATTACK,Mega Drain,Ancient Power,Sand Attack,Protect,1,0,0
140,Lileep,Rock,Grass,Suction Cups,None,23,Lax Incense,Docile,ATTACK|HP,Ancient Power,Acid,Ingrain,Confuse Ray,1,0,0
141,Anorith,Rock,Bug,Battle Armor,None,75,Scope Lens,Hardy,ATTACK|HP,Metal Claw,Fury Cutter,Ancient Power,Water Gun,1,0,0
142,Aipom,Normal,Normal,Run Away,Pickup,85,Silk Scarf,Relaxed,ATTACK|HP,Fury Swipes,Sand Attack,Baton Pass,Agility,1,0,0
143,Elekid,Electric,Electric,Static,None,95,Cheri Berry,Naive,SP_ATTACK|HP,Thunder Punch,Quick Attack,Swift,Light Screen,1,0,0
144,Loudred,Normal,Normal,Soundproof,None,48,Focus Band,Relaxed,ATTACK|HP,Stomp,Howl,Astonish,Supersonic,1,0,0
145,Spinda,Normal,Normal,Own Tempo,None,60,Sitrus Berry,Relaxed,ATTACK|HP,Dizzy Punch,Teeter Dance,Psybeam,Faint Attack,1,0,0
146,Nidorina,Poison,Poison,Poison Point,None,56,Focus Band,Quirky,ATTACK|HP,Double Kick,Bite,Aerial Ace,Flatter,1,0,0
147,Nidorino,Poison,Poison,Poison Point,None,65,Focus Band,Quirky,ATTACK|HP,Double Kick,Water Pulse,Mud Slap,Flatter,1,0,0
148,Flaaffy,Electric,Electric,Static,None,45,Magnet,Mild,SP_ATTACK|HP,Shock Wave,Thunder Wave,Cotton Spore,Light Screen,1,0,0
149,Magby,Fire,Fire,Flame Body,None,83,Lax Incense,Docile,SP_ATTACK|HP,Fire Punch,Smokescreen,Confuse Ray,Smog,1,0,0
150,Nosepass,Rock,Rock,Sturdy,Magnet Pull,30,Hard Stone,Sassy,SP_DEFENSE|HP,Rock Slide,Shock Wave,Thunder Wave,Sandstorm,1,0,0
151,Corsola,Water,Rock,Hustle,Natural Cure,35,Sitrus Berry,Impish,SP_DEFENSE|DEFENSE|HP,Bubble Beam,Mirror Coat,Attract,Ancient Power,1,0,0
152,Mawile,Steel,Steel,Hyper Cutter,Intimidate,50,Bright Powder,Docile,SP_ATTACK|HP,Crunch,Fake Tears,Iron Defense,Baton Pass,1,0,0
153,Butterfree,Bug,Flying,Compound Eyes,None,70,Pecha Berry,Quirky,SP_ATTACK|HP,Silver Wind,Psybeam,Toxic,Whirlwind,1,0,0
154,Beedrill,Bug,Poison,Swarm,None,75,Scope Lens,Naughty,SPEED|ATTACK,Twineedle,Pursuit,Endeavor,Agility,1,0,0
155,Poliwhirl,Water,Water,Water Absorb,Damp,90,Petaya Berry,Quirky,SP_ATTACK|HP,Water Pulse,Double Slap,Icy Wind,Rain Dance,1,0,0
156,Onix,Rock,Ground,Rock Head,Sturdy,70,Sitrus Berry,Hardy,SP_DEFENSE|DEFENSE|HP,Rock Slide,Bind,Dragon Breath,Sandstorm,1,0,0
157,Beautifly,Bug,Flying,Swarm,None,65,Mental Herb,Docile,SPEED|HP,Silver Wind,Mega Drain,Attract,Whirlwind,1,0,0
158,Dustox,Bug,Poison,Shield Dust,None,65,Silver Powder,Docile,SPEED|HP,Silver Wind,Toxic,Psybeam,Whirlwind,1,0,0
159,Ledian,Bug,Flying,Swarm,Early Bird,85,Focus Band,Bashful,SPEED|ATTACK,Comet Punch,Baton Pass,Swords Dance,Agility,1,0,0
160,Ariados,Bug,Poison,Swarm,Insomnia,40,Lax Incense,Serious,ATTACK|HP,Signal Beam,Spider Web,Night Shade,Toxic,1,0,0
161,Yanma,Bug,Flying,Speed Boost,Compound Eyes,95,Lax Incense,Relaxed,SP_DEFENSE|DEFENSE,Signal Beam,Aerial Ace,Double Team,Detect,1,0,0
162,Delcatty,Normal,Normal,Cute Charm,None,70,Sitrus Berry,Lonely,ATTACK|HP,Secret Power,Faint Attack,Double Team,Heal Bell,1,0,0
163,Sableye,Dark,Ghost,Keen Eye,None,50,Black Glasses,Lonely,ATTACK|HP,Faint Attack,Confuse Ray,Knock Off,Fake Out,1,0,0
164,Lickitung,Normal,Normal,Own Tempo,Oblivious,30,Sitrus Berry,Quirky,ATTACK|HP,Slam,Brick Break,Lick,Mud Slap,1,0,0
165,Weepinbell,Grass,Poison,Chlorophyll,None,55,Scope Lens,Quiet,SP_ATTACK|HP,Razor Leaf,Acid,Wrap,Sweet Scent,1,0,0
166,Graveler,Rock,Ground,Rock Head,Sturdy,35,Focus Band,Adamant,SP_DEFENSE|ATTACK|HP,Magnitude,Rock Throw,Defense Curl,Brick Break,1,0,0
167,Gloom,Grass,Poison,Chlorophyll,None,40,Persim Berry,Quirky,SP_ATTACK|HP,Petal Dance,Acid,Stun Spore,Moonlight,1,0,0
168,Porygon,Normal,Normal,Trace,None,40,Sitrus Berry,Relaxed,SP_ATTACK|HP,Psybeam,Icy Wind,Recycle,Agility,1,0,0
169,Kadabra,Psychic,Psychic,Synchronize,Inner Focus,105,Twisted Spoon,Impish,DEFENSE|HP,Confusion,Role Play,Future Sight,Disable,1,0,0
170,Wailmer,Water,Water,Water Veil,Oblivious,60,Lax Incense,Docile,SP_DEFENSE|DEFENSE,Whirlpool,Roar,Defense Curl,Rollout,1,0,0
171,Roselia,Grass,Poison,Natural Cure,Poison Point,65,Pecha Berry,Docile,DEFENSE|HP,Magical Leaf,Toxic,Grass Whistle,Cotton Spore,1,0,0
